timestamp,bucket,notional,side
2026-04-15T19:01:55.655392,73800,6492.94,SELL
2026-04-15T19:02:00.153567,73800,10623.21,SELL
2026-04-15T19:06:23.226248,73800,29212.8,SELL
2026-04-15T19:07:13.551344,73800,22127.7,SELL
2026-04-15T19:07:16.410301,73800,516.3,SELL
2026-04-15T19:08:02.268169,73800,442.48,SELL
2026-04-15T19:08:04.574481,73800,147.45,SELL
2026-04-15T19:08:14.626861,73800,2506.39,SELL
2026-04-15T19:08:16.157733,73600,5820.0,SELL
2026-04-15T19:08:17.849015,73600,221.0,SELL
2026-04-15T19:08:19.721945,73600,73.66,SELL
2026-04-15T19:12:32.137677,73600,1104.8,SELL
2026-04-15T19:12:34.656504,73600,5154.98,SELL
2026-04-15T19:12:51.219620,73600,441.75,SELL
2026-04-15T19:13:23.517227,73600,368.12,SELL
2026-04-15T19:13:29.521814,73600,31359.22,SELL
2026-04-15T19:13:32.432471,73600,1619.38,SELL
2026-04-15T19:13:33.615115,73600,8095.35,SELL
2026-04-15T19:13:36.340447,73600,74471.16,SELL
2026-04-15T19:13:37.517995,73600,6622.16,SELL
2026-04-15T19:13:39.198504,73600,3090.1,SELL
2026-04-15T19:13:41.174705,73600,73.57,SELL
2026-04-15T19:13:43.993529,73600,441.31,SELL
2026-04-15T19:13:45.898331,73600,9193.97,SELL
2026-04-15T19:14:05.574157,73600,294.22,SELL
2026-04-15T19:14:50.189567,73600,2941.62,SELL
2026-04-15T19:14:51.279212,73600,7648.05,SELL
2026-04-15T19:14:52.478006,73600,2205.79,SELL
2026-04-15T19:15:23.690676,73600,73.54,SELL
2026-04-15T19:17:54.656039,74200,296.94,BUY
2026-04-15T19:19:47.371219,74200,1631.52,BUY
2026-04-15T19:20:58.780894,73600,147.2,SELL
2026-04-15T19:22:19.403413,73600,3014.38,SELL
2026-04-15T19:22:20.864627,73600,1396.74,SELL
2026-04-15T19:22:25.855855,73400,808.4,SELL
2026-04-15T19:25:13.513313,73600,735.39,SELL
2026-04-15T19:28:02.843042,74200,445.79,BUY
2026-04-15T19:28:04.312890,74400,178707.13,BUY
2026-04-15T19:28:08.475018,74400,1932.34,BUY
2026-04-15T19:28:13.463855,74400,74.34,BUY
2026-04-15T19:28:15.154057,74400,43414.85,BUY
2026-04-15T19:28:17.541985,74400,520.52,BUY
2026-04-15T19:28:19.446902,74400,8108.17,BUY
2026-04-15T19:36:24.561675,73600,32221.29,SELL
2026-04-15T19:37:34.410225,73600,661.69,SELL
2026-04-15T19:37:45.173058,73600,1396.75,SELL
2026-04-15T19:44:47.125649,74400,2453.1,BUY
2026-04-15T19:45:02.508978,74400,2752.49,BUY
2026-04-15T19:45:03.570275,74400,4836.43,BUY
2026-04-15T19:45:17.586752,74400,12579.43,BUY
2026-04-15T19:45:18.677559,74400,1191.1,BUY
2026-04-15T19:45:19.795216,74400,446.65,BUY
2026-04-15T19:45:22.210044,74400,2084.84,BUY
