symbol,sumOpenInterest,sumOpenInterestValue,CMCCirculatingSupply,timestamp
BTCUSDT,87060.591,6100927623.38880000,20003043.00000000,2026-03-23 12:00:00
BTCUSDT,87336.137,6123319970.95770000,20003043.00000000,2026-03-23 16:00:00
BTCUSDT,85755.624,6061015965.40514200,20003043.00000000,2026-03-23 20:00:00
BTCUSDT,85432.91,6054518040.66428500,20003043.00000000,2026-03-24 00:00:00
BTCUSDT,85407.354,6022251885.98340000,20003043.00000000,2026-03-24 04:00:00
BTCUSDT,85600.72,6100420911.52000000,20003043.00000000,2026-03-24 08:00:00
BTCUSDT,85782.611,6100623573.65060800,20003043.00000000,2026-03-24 12:00:00
BTCUSDT,85604.732,5978848494.71000000,20003043.00000000,2026-03-24 16:00:00
BTCUSDT,85544.399,5931828269.89790000,20003043.00000000,2026-03-24 20:00:00
BTCUSDT,86159.608,6076509318.67778000,20003043.00000000,2026-03-25 00:00:00
BTCUSDT,85974.143,6077443389.35560000,20003043.00000000,2026-03-25 04:00:00
BTCUSDT,86917.081,6162421042.90000000,20003043.00000000,2026-03-25 08:00:00
BTCUSDT,87680.491,6282324716.24820000,20003043.00000000,2026-03-25 12:00:00
BTCUSDT,87083.093,6166101316.00866000,20003043.00000000,2026-03-25 16:00:00
BTCUSDT,86847.445,6152794088.47000000,20003043.00000000,2026-03-25 20:00:00
BTCUSDT,86309.142,6153626051.74500000,20003043.00000000,2026-03-26 00:00:00
BTCUSDT,86786.307,6149401953.67377600,20003043.00000000,2026-03-26 04:00:00
BTCUSDT,86774.968,6078933608.27200000,20003043.00000000,2026-03-26 08:00:00
BTCUSDT,86870.506,6014861713.13640000,20003043.00000000,2026-03-26 12:00:00
BTCUSDT,86641.975,5983798040.41250000,20003043.00000000,2026-03-26 16:00:00
BTCUSDT,86613.048,5933444175.84960000,20003043.00000000,2026-03-26 20:00:00
BTCUSDT,87406.838,6012543398.45203000,20003043.00000000,2026-03-27 00:00:00
BTCUSDT,88366.998,6073101467.84820000,20003043.00000000,2026-03-27 04:00:00
BTCUSDT,89034.276,6098278086.63360000,20003043.00000000,2026-03-27 08:00:00
BTCUSDT,91748.608,6116255804.82560000,20003043.00000000,2026-03-27 12:00:00
BTCUSDT,93971.692,6210777067.66400000,20003043.00000000,2026-03-27 16:00:00
BTCUSDT,94901.647,6264552620.11700000,20003043.00000000,2026-03-27 20:00:00
BTCUSDT,95177.686,6316390989.24120000,20003043.00000000,2026-03-28 00:00:00
BTCUSDT,95214.816,6302650904.70892100,20005753.00000000,2026-03-28 04:00:00
BTCUSDT,95337.595,6342202317.31755900,20005753.00000000,2026-03-28 08:00:00
BTCUSDT,95335.011,6320875879.77197200,20005753.00000000,2026-03-28 12:00:00
BTCUSDT,94860.475,6355497483.57038000,20005753.00000000,2026-03-28 16:00:00
BTCUSDT,95149.289,6363076457.98747000,20005753.00000000,2026-03-28 20:00:00
BTCUSDT,93836.989,6225327094.92725900,20005753.00000000,2026-03-29 00:00:00
BTCUSDT,94786.936,6338952174.54880000,20008462.00000000,2026-03-29 04:00:00
BTCUSDT,95254.695,6347127939.08223900,20008462.00000000,2026-03-29 08:00:00
BTCUSDT,95105.983,6351426460.52972300,20008462.00000000,2026-03-29 12:00:00
BTCUSDT,95445.714,6347130436.42860000,20008462.00000000,2026-03-29 16:00:00
BTCUSDT,96035.419,6369097798.70570000,20008462.00000000,2026-03-29 20:00:00
BTCUSDT,94223.417,6217661952.70450000,20008462.00000000,2026-03-30 00:00:00
BTCUSDT,92468.175,6207318486.15259000,20008921.00000000,2026-03-30 04:00:00
BTCUSDT,91921.011,6213557019.58417500,20008921.00000000,2026-03-30 08:00:00
BTCUSDT,91672.58,6201402521.03400000,20008921.00000000,2026-03-30 12:00:00
BTCUSDT,91918.909,6213626329.49100000,20008921.00000000,2026-03-30 16:00:00
BTCUSDT,89691.526,5965482054.93860000,20008921.00000000,2026-03-30 20:00:00
BTCUSDT,89941.694,6004606427.30340000,20008921.00000000,2026-03-31 00:00:00
BTCUSDT,90575.06,6128768728.81810100,20009321.00000000,2026-03-31 04:00:00
BTCUSDT,90709.158,6108699394.52040000,20009321.00000000,2026-03-31 08:00:00
BTCUSDT,91274.532,6083865045.52506000,20009321.00000000,2026-03-31 12:00:00
BTCUSDT,91570.905,6107413079.88000000,20009321.00000000,2026-03-31 16:00:00
